M HIP_ID Dist RA_J2000 DEC_J2000 V_MAG Parallax PM_RA PM_DEC CCDM Sp_Type HIP_ID_STR FLUX_J FLUX_H FLUX_K
M 77 N/A 00:00:55.34 -30:03:50.9 8.41 3.53 18.83 2.83 -------- A0V hip77 8.343000411987305 8.40999984741211 8.359999656677246
M 232 N/A 00:02:55.22 -30:08:59.1 8.43 5.18 20.22 2.81 -------- A0V hip232 8.376999855041504 8.428000450134277 8.427000045776367
M 257 N/A 00:03:12.73 -31:12:44.5 8.87 3.15 18.69 4.06 -------- A0V hip257 8.704999923706055 8.723999977111816 8.65999984741211
M 273 N/A 00:03:25.65 -46:49:51.5 11.14 1.86 -2.2 -1.32 -------- A0V hip273 10.972000122070312 10.968999862670898 10.97599983215332
M 582 N/A 00:07:05.49 +62:23:33.7 9.52 4.4 7.17 -2.62 -------- A0V hip582 9.064000129699707 9.036999702453613 8.968000411987305
M 942 N/A 00:11:37.46 +63:26:35.2 9.21 0.53 5.9 -2.43 -------- A0V hip942 8.902000427246094 8.937000274658203 8.899999618530273
M 1383 N/A 00:17:18.74 +62:49:33.1 8.56 4.15 -31.58 28.86 -------- A0V hip1383 8.317000389099121 8.326000213623047 8.326000213623047
M 1603 N/A 00:20:05.17 +48:51:55.5 6.53 3.69 -3.26 -14.65 -------- A0Vs hip1603 6.331999778747559 6.383999824523926 6.328999996185303
M 1714 N/A 00:21:33.43 -66:18:16.4 7.36 7.25 26.56 -21.2 -------- A0V hip1714 7.364999771118164 7.394999980926514 7.394999980926514
M 1777 N/A 00:22:34.17 -61:02:05.5 7.3 7.4 69.03 9.2 -------- A0V hip1777 7.251999855041504 7.317999839782715 7.24399995803833
M 2472 N/A 00:31:24.99 -48:48:12.6 4.76 18.97 140.74 19.47 00314-4848 A0V hip2472 4.668000221252441 4.770999908447266 4.699999809265137
M 2578 N/A 00:32:43.90 -63:01:53.4 5.07 21.52 86.15 -49.85 00327-6302 A0V hip2578 5.060999870300293 5.156000137329102 4.985000133514404
M 2628 N/A 00:33:19.26 +70:58:54.6 6.41 6.18 35.38 -1.81 -------- A0Vn hip2628 6.348999977111816 6.322999954223633 6.313000202178955
M 2665 N/A 00:33:48.01 -39:55:28.5 7.42 5.97 26.49 8.2 -------- A0V hip2665 7.432000160217285 7.440000057220459 7.413000106811523
M 2731 N/A 00:34:53.44 -68:35:48.3 8.59 5.54 16.93 20.25 -------- A0V hip2731 7.934999942779541 7.651000022888184 7.574999809265137
M 3471 N/A 00:44:21.57 -49:42:23.5 7.72 2.9 -0.41 8.45 -------- A0V hip3471 7.599999904632568 7.583000183105469 7.552000045776367
M 4064 N/A 00:52:06.28 -35:44:51.8 8.65 1.32 10.19 -0.45 -------- A0V hip4064 8.579000473022461 8.62399959564209 8.560999870300293
M 4182 N/A 00:53:28.05 +60:39:56.2 7.78 3.24 27.79 -9.23 -------- A0V hip4182 7.519000053405762 7.545000076293945 7.491000175476074
M 5132 N/A 01:05:41.71 +21:27:55.5 5.55 14.67 53.93 -12.63 01057+2128 A0Vn hip5132 5.60699987411499 5.631999969482422 5.610000133514404
